证券代码,证券简称,行业中类,行业大类,行业门类,行业来源,更新截止
000001,平安银行,股份制银行Ⅲ,货币金融服务,金融业,cninfo_stock_industry_change,20260423
000002,万  科Ａ,房地产开发,房地产业,房地产业,cninfo_stock_industry_change,20260423
000009,中国宝安,电池化学品,其他金融业,金融业,cninfo_stock_industry_change,20260423
000021,深科技,消费电子零部件及组装,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000027,深圳能源,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000032,深桑达Ａ,其他专业工程,建筑安装业,建筑业,cninfo_stock_industry_change,20260423
000034,神州数码,IT服务Ⅲ,批发业,批发和零售业,cninfo_stock_industry_change,20260423
000039,中集集团,金属制品,金属制品业,制造业,cninfo_stock_industry_change,20260423
000050,深天马Ａ,显示器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000060,中金岭南,铅锌,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000062,深圳华强,其他电子,批发业,批发和零售业,cninfo_stock_industry_change,20260423
000063,中兴通讯,通信网络设备及器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000088,盐 田 港,港口,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
000100,TCL科技,面板,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000155,川能动力,风力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000157,中联重科,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000166,申万宏源,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000301,东方盛虹,炼油化工,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000333,美的集团,空调,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
000338,潍柴动力,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
000400,许继电气,电网自动化设备,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
000408,藏格矿业,锂,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000415,渤海租赁,租赁,租赁业,租赁和商务服务业,cninfo_stock_industry_change,20260423
000423,东阿阿胶,中成药,医药制造业,制造业,cninfo_stock_industry_change,20260423
000425,徐工机械,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000426,兴业银锡,铅锌,有色金属矿采选业,采矿业,cninfo_stock_industry_change,20260423
000429,粤高速Ａ,高速公路,道路运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
000513,丽珠集团,化学制剂,医药制造业,制造业,cninfo_stock_industry_change,20260423
000519,中兵红箭,地面兵装,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000528,柳    工,工程机械整机,专用设备制造业,制造业,cninfo_stock_industry_change,20260423
000537,绿发电力,风力发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000538,云南白药,中成药,医药制造业,制造业,cninfo_stock_industry_change,20260423
000539,粤电力Ａ,火电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000559,万向钱潮,底盘与发动机系统,汽车制造业,制造业,cninfo_stock_industry_change,20260423
000563,陕国投Ａ,信托,其他金融业,金融业,cninfo_stock_industry_change,20260423
000568,泸州老窖,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
000582,北部湾港,港口,水上运输业,交通运输、仓储和邮政业,cninfo_stock_industry_change,20260423
000591,太阳能,光伏发电,电力、热力生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000596,古井贡酒,白酒Ⅲ,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
000598,兴蓉环境,水务及水治理,水的生产和供应业,电力、热力、燃气及水生产和供应业,cninfo_stock_industry_change,20260423
000617,中油资本,金融控股,货币金融服务,金融业,cninfo_stock_industry_change,20260423
000623,吉林敖东,中药Ⅲ,医药制造业,制造业,cninfo_stock_industry_change,20260423
000625,长安汽车,综合乘用车,汽车制造业,制造业,cninfo_stock_industry_change,20260423
000629,钒钛股份,冶钢辅料,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000630,铜陵有色,铜,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000651,格力电器,白色家电,电气机械和器材制造业,制造业,cninfo_stock_industry_change,20260423
000657,中钨高新,钨,金属制品业,制造业,cninfo_stock_industry_change,20260423
000661,长春高新,其他生物制品,医药制造业,制造业,cninfo_stock_industry_change,20260423
000683,博源化工,纯碱,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000703,恒逸石化,炼油化工,化学纤维制造业,制造业,cninfo_stock_industry_change,20260423
000708,中信特钢,特钢Ⅲ,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000709,河钢股份,板材,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000723,美锦能源,焦炭Ⅲ,石油、煤炭及其他燃料加工业,制造业,cninfo_stock_industry_change,20260423
000725,京东方Ａ,显示器件,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000728,国元证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000729,燕京啤酒,啤酒,酒、饮料和精制茶制造业,制造业,cninfo_stock_industry_change,20260423
000733,振华科技,军工电子Ⅲ,计算机、通信和其他电子设备制造业,制造业,cninfo_stock_industry_change,20260423
000738,航发控制,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
000739,普洛药业,化学原料药,医药制造业,制造业,cninfo_stock_industry_change,20260423
000750,国海证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000768,中航西飞,航空装备,铁路、船舶、航空航天和其他运输设备制造业,制造业,cninfo_stock_industry_change,20260423
000776,广发证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000783,长江证券,证券,资本市场服务,金融业,cninfo_stock_industry_change,20260423
000785,居然智家,商业物业经营,商务服务业,租赁和商务服务业,cninfo_stock_industry_change,20260423
000786,北新建材,其他建材,非金属矿物制品业,制造业,cninfo_stock_industry_change,20260423
000792,盐湖股份,钾肥,化学原料和化学制品制造业,制造业,cninfo_stock_industry_change,20260423
000807,云铝股份,铝,有色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
000825,太钢不锈,特钢Ⅲ,黑色金属冶炼和压延加工业,制造业,cninfo_stock_industry_change,20260423
