category,category_intro,count,mean_abs_ic,top_abs_ic,mean_best_ann,top_best_ann,mean_turnover
style,风险因子 - 风格因子,30,0.021021266666666667,0.047639,0.029476566666666666,0.180305,0.02134293333333333
emotion,情绪类因子,36,0.02378477777777778,0.040841,0.04687211111111111,0.15982,0.11659263888888888
style_pro,风险因子 - 新风格因子,16,0.0184845625,0.047279,0.044429625,0.135003,0.013903374999999999
momentum,动量类因子,34,0.019405676470588235,0.029317,0.03377047058823529,0.113521,0.21459155882352943
quality,质量类因子,71,0.0051594366197183095,0.018986,0.031219605633802817,0.107641,0.009263098591549297
basics,基础科目及衍生类因子,37,0.014882567567567567,0.027188,0.03437127027027027,0.103439,0.012771729729729729
technical,技术指标因子,16,0.0230373125,0.036973,0.0267851875,0.097655,0.2184739375
pershare,每股指标因子,15,0.0044652,0.011407,0.029496266666666666,0.086427,0.009665466666666667
growth,成长类因子,9,0.0033629999999999997,0.005984,0.034203444444444446,0.076571,0.015574999999999999
risk,风险类因子,12,0.019460333333333333,0.042523,0.010296833333333333,0.067508,0.09054516666666666
