universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
zz500,1y,8680a1169d64ba3b5579bff60db34cf0,net_profit_to_total_operate_revenue_ttm,净利润与营业总收入之比, 净利润与营业总收入之比=净利润（TTM）/营业总收入（TTM）,0.438853,0.460833,-0.025717,0.146667,2.019548,0.010319,0.402760,0.422681,-0.051162,0.143413,1.884061,0.005856,-0.031064,-0.032337,0.077092,-0.703825,0.008088,0.499393,0.007076,0.080231,0.833333,0,0.021686,0.022600,0.083380,-0.169296,0.008088
zz500,1y,e6251d0f5488bcede8a3668363b85d78,PSY,心理线指标, n日内连续上涨的天数/n *100。 本因子的计算窗口为12日。,0.498711,0.524192,0.016539,0.148739,2.482291,0.254778,0.423304,0.444392,-0.036682,0.138857,1.939649,0.249977,-0.054484,-0.056689,0.143864,-0.803889,0.252377,0.499393,-0.023325,-0.276803,0.825000,0,0.043084,0.044919,0.131496,0.040900,0.252377
zz500,1y,4e93e227b6e0483fb4a1c5a7113f0b78,VROC12,12日量变动速率指标, 成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=12,0.441776,0.463924,-0.023655,0.147885,2.072035,0.511745,0.533751,0.561330,0.041308,0.117136,2.448193,0.472621,0.058050,0.060540,0.111732,0.168313,0.492183,0.499393,-0.026914,-0.312259,0.816667,0,-0.068244,-0.070984,0.199303,-0.909443,0.492183
zz500,1y,72dd943a424166bb2beb343346b1691c,TVMA6,6日成交金额的移动平均值, 6日成交金额的移动平均值,0.361308,0.378916,-0.080350,0.119073,2.089302,0.062782,0.551995,0.580680,0.054213,0.171720,2.138498,0.074995,0.149132,0.155807,0.091671,0.791635,0.068889,0.499393,-0.027464,-0.178818,0.933333,0,-0.147482,-0.153131,0.203443,-1.320209,0.068889
zz500,1y,e0849d735dbca83460118ae079ed3f85,total_operating_revenue_per_share_ttm,每股营业总收入TTM, 营业总收入（TTM）除以总股本,0.474186,0.498219,-0.000783,0.151810,2.156413,0.010463,0.642952,0.677294,0.118649,0.132721,3.070538,0.007167,0.109176,0.113975,0.107081,0.814086,0.008815,0.499393,0.006112,0.083710,0.791667,0,-0.105562,-0.109710,0.136788,-1.647539,0.008815
zz500,1y,c0171be913186ccea1908426dfd67c48,cfo_to_ev,经营活动产生的现金流量净额与企业价值之比TTM, 经营活动产生的现金流量净额TTM / 企业价值。其中，企业价值=司市值+负债合计-货币资金,0.609984,0.642249,0.095276,0.134129,2.703773,0.015551,0.433818,0.455508,-0.029268,0.122288,2.483442,0.017417,-0.126536,-0.131446,0.155715,-1.261730,0.016484,0.499393,0.015484,0.144275,0.870833,0,0.124758,0.130282,0.082410,0.664414,0.016484
zz500,1y,332c813b6506c6be59e8efeea0670d74,accounts_payable_turnover_days,应付账款周转天数, 应付账款周转天数 = 360 / 应付账款周转率,0.468851,0.492572,-0.004549,0.119626,2.471007,0.009090,0.503831,0.529615,0.020156,0.175131,2.056497,0.009188,0.026928,0.028065,0.163293,-0.092127,0.009139,0.499393,-0.007184,-0.089200,0.800000,0,-0.041727,-0.043427,0.158147,-0.643995,0.009139
zz500,1y,546f1469c4e9cf32a535caba02a62bce,net_profit_ratio,销售净利率, 售净利率=净利润（TTM）/营业收入（TTM）,0.458069,0.481161,-0.012160,0.142731,2.105644,0.009685,0.421165,0.442131,-0.038190,0.143413,1.960827,0.005773,-0.031123,-0.032399,0.082831,-0.706187,0.007729,0.499393,0.005937,0.068250,0.820833,0,0.021800,0.022719,0.083016,-0.168562,0.007729
zz500,1y,67c34554aecb26a76a9846e118a3260a,net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额, 营业外收支利润净额/利润总额,0.356876,0.374241,-0.083469,0.128793,1.742330,0.010799,0.625458,0.658695,0.106244,0.164296,2.755889,0.010710,0.201582,0.210812,0.048092,1.945349,0.010755,0.499393,0.004620,0.089585,0.758333,0,-0.173997,-0.180550,0.197290,-2.511811,0.010755
zz500,1y,788196b0101b15825d39b069599667ce,operating_revenue_growth_rate,营业收入增长率, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1,0.396242,0.415796,-0.055754,0.154691,1.810686,0.015790,0.598895,0.630469,0.087419,0.140275,2.802754,0.016290,0.142187,0.148532,0.053811,1.292632,0.016040,0.499393,0.009618,0.130548,0.808333,0,-0.130435,-0.135484,0.156276,-2.090045,0.016040
