universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
hs300,1y,ba123b350d6a845f0e522ff1264157a8,net_profit_to_total_operate_revenue_ttm,净利润与营业总收入之比, 净利润与营业总收入之比=净利润（TTM）/营业总收入（TTM）,0.223165,0.233475,-0.030371,0.089324,1.400344,0.007300,0.195436,0.204361,-0.053257,0.067217,1.173365,0.003614,-0.028279,-0.029439,0.113763,-0.621802,0.005457,0.272110,0.007473,0.090038,0.812500,0,0.016901,0.017612,0.096036,-0.200478,0.005457
hs300,1y,1e3770c48d97b5d6d46be6af157ea0da,PSY,心理线指标, n日内连续上涨的天数/n *100。 本因子的计算窗口为12日。,0.200358,0.209526,-0.049197,0.089594,1.255465,0.234144,0.421243,0.442214,0.133717,0.051106,2.725808,0.239220,0.176646,0.184648,0.078763,1.113824,0.236682,0.272110,-0.011469,-0.104344,0.883333,0,-0.163823,-0.170033,0.203371,-1.617300,0.236682
hs300,1y,645cfc4ebcec90767b41eed09dcd9215,VROC12,12日量变动速率指标, 成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=12,0.423776,0.444891,0.135822,0.079950,2.614000,0.549759,0.217856,0.227898,-0.034755,0.074067,1.242432,0.526468,-0.152889,-0.158725,0.225088,-1.453290,0.538113,0.272110,-0.030069,-0.311708,0.845833,0,0.159446,0.166615,0.101540,0.925946,0.538113
hs300,1y,dd3b9f12bb2347e103d3dbb9cba5b2d0,TVMA6,6日成交金额的移动平均值, 6日成交金额的移动平均值,0.142986,0.149369,-0.096487,0.072754,0.913064,0.055010,0.338021,0.354355,0.064652,0.111869,1.811982,0.071335,0.170542,0.178247,0.106031,1.091462,0.063172,0.272110,-0.012520,-0.082269,0.916667,0,-0.158795,-0.164834,0.206570,-1.617165,0.063172
hs300,1y,93caf5d75a2ce507acdbc0f9c1fc64a9,total_operating_revenue_per_share_ttm,每股营业总收入TTM, 营业总收入（TTM）除以总股本,0.201971,0.211220,-0.047866,0.092492,1.624496,0.007085,0.500559,0.526149,0.199699,0.116725,2.439383,0.004035,0.248289,0.259878,0.103229,1.287820,0.005560,0.272110,0.001072,0.014132,0.829167,0,-0.221106,-0.229173,0.231549,-1.576542,0.005560
hs300,1y,a4017f0b6a2006712ab227a629b1b7d7,cfo_to_ev,经营活动产生的现金流量净额与企业价值之比TTM, 经营活动产生的现金流量净额TTM / 企业价值。其中，企业价值=司市值+负债合计-货币资金,0.297990,0.312173,0.031493,0.126661,1.692689,0.014795,0.118630,0.123868,-0.116533,0.085848,0.698748,0.013827,-0.149520,-0.155240,0.163923,-1.547676,0.014311,0.272110,0.012626,0.129232,0.816667,0,0.157937,0.165034,0.080221,0.991149,0.014311
hs300,1y,b46e5ed01a1f980e83a5405ffd6d3a8b,accounts_payable_turnover_days,应付账款周转天数, 应付账款周转天数 = 360 / 应付账款周转率,0.522850,0.549773,0.218269,0.093223,3.045162,0.007047,0.202938,0.212235,-0.047068,0.086040,1.076416,0.005948,-0.218199,-0.226177,0.255943,-1.963692,0.006497,0.272110,-0.009374,-0.093076,0.850000,0,0.256529,0.268542,0.083368,1.686046,0.006497
hs300,1y,91d18143d29b16145e21df2432ba9562,net_profit_ratio,销售净利率, 售净利率=净利润（TTM）/营业收入（TTM）,0.239157,0.250278,-0.017162,0.088002,1.523674,0.007023,0.191155,0.199869,-0.056789,0.068095,1.130051,0.004101,-0.044084,-0.045878,0.121205,-0.768067,0.005562,0.272110,0.007136,0.087586,0.816667,0,0.033681,0.035108,0.089920,-0.043748,0.005562
hs300,1y,e645814df2309e185897fe1699d04151,net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额, 营业外收支利润净额/利润总额,0.414591,0.435182,0.128190,0.117024,2.514997,0.010867,0.250466,0.262166,-0.007817,0.066413,1.652450,0.011608,-0.124569,-0.129408,0.207093,-1.466725,0.011238,0.272110,-0.001419,-0.024033,0.745833,0,0.127742,0.133405,0.100356,0.808694,0.011238
hs300,1y,66a9eba26cd4b8c3cc1ef6b8e6a187f4,operating_revenue_growth_rate,营业收入增长率, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1,0.128229,0.133914,-0.108635,0.113130,0.867283,0.009179,0.701509,0.739612,0.367501,0.112439,3.078329,0.009654,0.502936,0.528667,0.135622,2.246154,0.009416,0.272110,0.015373,0.134491,0.837500,0,-0.364575,-0.376468,0.373717,-1.914291,0.009416
hs300,1y,29412d4557a8a129e11992dbd5a3cffa,net_working_capital,净运营资本, 流动资产 － 流动负债,0.137855,0.143995,-0.100711,0.078549,0.810498,0.008415,0.380911,0.399607,0.100224,0.063738,2.670969,0.006662,0.210771,0.220458,0.046488,2.192878,0.007538,0.272110,0.017541,0.245795,0.758333,0,-0.179539,-0.186277,0.223477,-2.749651,0.007538
