universe,period,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
zz500,10y,f641d283db22ce20c99a1df347e21ae2,net_profit_to_total_operate_revenue_ttm,净利润与营业总收入之比, 净利润与营业总收入之比=净利润（TTM）/营业总收入（TTM）,0.121516,0.011893,-0.020253,0.443057,-0.127014,0.014389,0.623409,0.051220,0.017825,0.408066,0.054870,0.008193,0.348499,0.031304,0.227148,-0.101272,0.011291,0.032810,0.008378,0.113203,0.782088,0,-0.309636,-0.037479,0.423160,-0.902301,0.011291
zz500,10y,d9f59c1ab4a683736d8adcf221db2750,PSY,心理线指标, n日内连续上涨的天数/n *100。 本因子的计算窗口为12日。,0.951786,0.071375,0.037340,0.435912,0.152942,0.230433,0.137477,0.013368,-0.018824,0.471442,-0.124536,0.244619,-0.438688,-0.057796,0.493287,-0.914611,0.237526,0.032810,-0.017607,-0.187802,0.836566,0,0.594394,0.049267,0.185039,0.086670,0.237526
zz500,10y,da89af47381f0ff3aa1828cd1496bb6d,VROC12,12日量变动速率指标, 成交量减N日前的成交量，再除以N日前的成交量，放大100倍，得到VROC值 ，n=12,1.162017,0.082733,0.048337,0.432296,0.199474,0.518525,-0.128347,-0.014061,-0.045383,0.584395,-0.247184,0.482903,-0.612740,-0.093170,0.689646,-1.328718,0.500714,0.032810,-0.030263,-0.360159,0.821296,0,1.341784,0.091686,0.230726,0.515701,0.500714
zz500,10y,5a5ac0c3374af2adf411aeb96be84ce5,TVMA6,6日成交金额的移动平均值, 6日成交金额的移动平均值,1.323814,0.090819,0.056166,0.344947,0.299350,0.062620,-0.071021,-0.007566,-0.039094,0.574974,-0.187803,0.076787,-0.567116,-0.082698,0.664888,-0.891493,0.069704,0.032810,-0.035975,-0.257007,0.890631,0,0.921990,0.069677,0.244840,0.215627,0.069704
zz500,10y,7be504c08b0c16f7aca6725a4bd167c6,total_operating_revenue_per_share_ttm,每股营业总收入TTM, 营业总收入（TTM）除以总股本,0.150101,0.014522,-0.017707,0.433531,-0.122015,0.009594,1.254576,0.087423,0.052878,0.374289,0.223575,0.005138,0.919831,0.069553,0.107081,0.390734,0.007366,0.032810,0.007474,0.106546,0.777548,0,-0.507321,-0.070380,0.521089,-1.459376,0.007366
zz500,10y,c6ba4e8aea33bfbf51360411d0592d50,cfo_to_ev,经营活动产生的现金流量净额与企业价值之比TTM, 经营活动产生的现金流量净额TTM / 企业价值。其中，企业价值=司市值+负债合计-货币资金,0.204052,0.019328,-0.013054,0.503354,-0.092368,0.014945,1.193001,0.084323,0.049876,0.348970,0.215867,0.017901,0.673958,0.054548,0.230747,0.149056,0.016423,0.032810,0.014800,0.179634,0.793232,0,-0.455397,-0.060727,0.568638,-1.032014,0.016423
zz500,10y,d3b1b76b2dcf5dd86adce50864aa6d42,accounts_payable_turnover_days,应付账款周转天数, 应付账款周转天数 = 360 / 应付账款周转率,0.896158,0.068186,0.034252,0.400052,0.135147,0.008163,0.465277,0.040172,0.007128,0.489194,0.000742,0.006633,-0.222691,-0.025636,0.389951,-0.695854,0.007398,0.032810,-0.007608,-0.105131,0.786304,0,0.180129,0.017221,0.335510,-0.241492,0.007398
zz500,10y,005bf03e7c8b3a75577203c21494cf14,net_profit_ratio,销售净利率, 售净利率=净利润（TTM）/营业收入（TTM）,0.176759,0.016921,-0.015384,0.425135,-0.104186,0.014394,0.693109,0.055786,0.022246,0.400408,0.077060,0.008301,0.341193,0.030726,0.242031,-0.108638,0.011347,0.032810,0.008162,0.111587,0.778374,0,-0.305289,-0.036856,0.414491,-0.900359,0.011347
zz500,10y,752803c7d0c8a4b86a85a9b0f963ed71,net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额, 营业外收支利润净额/利润总额,0.405134,0.035687,0.002786,0.418518,-0.019625,0.011385,1.065144,0.077629,0.043395,0.442665,0.171631,0.011275,0.431822,0.037698,0.200871,-0.031935,0.011330,0.032810,0.000645,0.012574,0.700371,0,-0.335943,-0.041327,0.440082,-1.128280,0.011330
zz500,10y,0c2c51734b61d33dfcffc2f5891ab2e3,operating_revenue_growth_rate,营业收入增长率, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1,-0.100543,-0.010865,-0.042287,0.529870,-0.232011,0.015580,0.789365,0.061821,0.028089,0.436802,0.098815,0.013753,0.934191,0.070375,0.202095,0.379276,0.014666,0.032810,0.004985,0.077634,0.752373,0,-0.514259,-0.071738,0.516029,-1.395203,0.014666
zz500,10y,fe340dbbb6b2f7a3313c30f942af138a,net_working_capital,净运营资本, 流动资产 － 流动负债,0.766187,0.060395,0.026709,0.403981,0.096748,0.007030,0.806568,0.062869,0.029104,0.381897,0.111118,0.006891,-0.015269,-0.001585,0.322470,-0.551477,0.006961,0.032810,0.004932,0.095433,0.699546,0,-0.038970,-0.004089,0.239690,-0.584690,0.006961
