category,category_intro,factor_id,name,intro,algorithmIntro,compound_return_1q,annual_return_1q,annual_ex_return_1q,max_drawdown_1q,sharpe_1q,turnover_mean_1q,compound_return_5q,annual_return_5q,annual_ex_return_5q,max_drawdown_5q,sharpe_5q,turnover_mean_5q,compound_return_ls,annual_return_ls,max_drawdown_ls,sharpe_ls,turnover_mean_ls,annual_return_bm,ic_mean,ir,good_ic,status,compound_return_ls2,annual_return_ls2,max_drawdown_ls2,sharpe_ls2,turnover_mean_ls2
basics,基础科目及衍生类因子,7897dfb3fb5be11d91dca0a5b568c986,net_working_capital,净运营资本, 流动资产 － 流动负债,0.438083,0.133858,0.021633,0.263832,0.455062,0.007003,0.413332,0.127072,0.015519,0.249649,0.413161,0.007107,-0.020682,-0.007200,0.163133,-0.722642,0.007055,0.109848,0.006224,0.115694,0.703190,0,0.008614,0.002970,0.126169,-0.566928,0.007055
basics,基础科目及衍生类因子,8e7ad3180dcdb0ab288654654603b65b,total_operating_revenue_ttm,营业总收入TTM, 计算过去12个月的 营业总收入 之和,0.371212,0.115342,0.004950,0.313876,0.312146,0.012560,0.673622,0.194914,0.076646,0.227540,0.751957,0.006813,0.172496,0.056568,0.102881,0.148611,0.009686,0.109848,0.018646,0.147460,0.883495,0,-0.177229,-0.065230,0.225318,-0.943885,0.009686
basics,基础科目及衍生类因子,7ac4e2b4f28b58c0965bed4de93f56f1,operating_profit_ttm,营业利润TTM, 计算过去12个月 营业利润 之和,0.344292,0.107722,-0.001916,0.333432,0.267112,0.016189,0.536304,0.160060,0.045242,0.194885,0.627816,0.012874,0.065433,0.022158,0.253075,-0.122538,0.014531,0.109848,0.019390,0.140850,0.897365,0,-0.117186,-0.042183,0.266924,-0.564428,0.014531
basics,基础科目及衍生类因子,fbb3fec5287ebd60894815e3b0ca6ed9,net_operate_cash_flow_ttm,经营活动现金流量净额TTM, 计算过去12个月 经营活动产生的现金流量净值 之和,0.319748,0.100686,-0.008255,0.327867,0.239973,0.016851,0.659710,0.191470,0.073543,0.179688,0.766199,0.011746,0.186210,0.060825,0.136353,0.165077,0.014298,0.109848,0.020113,0.167223,0.871012,0,-0.194897,-0.072220,0.270937,-0.889559,0.014298
basics,基础科目及衍生类因子,daa3f565b62390e862137f5f15955bd1,operating_revenue_ttm,营业收入TTM, 计算过去12个月的 营业收入 之和,0.351506,0.109774,-0.000067,0.315266,0.289106,0.013341,0.655693,0.190472,0.072644,0.228334,0.732402,0.007134,0.176846,0.057922,0.099730,0.162281,0.010238,0.109848,0.019222,0.150931,0.872399,0,-0.179721,-0.066209,0.224459,-0.961718,0.010238
basics,基础科目及衍生类因子,671d804b77393230301afcc34ea217cc,interest_carry_current_liability,带息流动负债, 流动负债合计 - 无息流动负债,0.314489,0.099168,-0.009623,0.273980,0.259465,0.012082,0.586117,0.172930,0.056838,0.239467,0.619231,0.005967,0.181686,0.059424,0.104668,0.207709,0.009025,0.109848,0.013967,0.131514,0.829404,0,-0.174896,-0.064314,0.223862,-1.115453,0.009025
basics,基础科目及衍生类因子,c2d1a6b0040606196a50eebf2762e0fe,sale_expense_ttm,销售费用TTM, 计算过去12个月 销售费用 之和,0.408512,0.125741,0.014320,0.306728,0.366243,0.009256,0.312859,0.098696,-0.010048,0.304949,0.263609,0.006731,-0.085337,-0.030373,0.109101,-0.790788,0.007993,0.109848,0.005818,0.059190,0.843273,0,0.068567,0.023197,0.089557,-0.188820,0.007993
basics,基础科目及衍生类因子,019f262523b750b3259f422b1f282415,retained_earnings,留存收益, =盈余公积金+未分配利润,0.227550,0.073465,-0.032782,0.368716,0.134126,0.012800,0.468826,0.142182,0.029133,0.179937,0.558575,0.007842,0.114349,0.038147,0.264463,-0.012800,0.010321,0.109848,0.024466,0.167049,0.890430,0,-0.155339,-0.056704,0.314458,-0.668137,0.010321
basics,基础科目及衍生类因子,7ffba27fbb22d23c6b5bd949bc76dfcd,total_operating_cost_ttm,营业总成本TTM, 计算过去12个月的 营业总成本 之和,0.356001,0.111049,0.001081,0.311905,0.296421,0.011134,0.642423,0.187164,0.069663,0.234319,0.705499,0.007049,0.168215,0.055232,0.097481,0.142261,0.009092,0.109848,0.017860,0.145679,0.876560,0,-0.171908,-0.063144,0.244352,-0.963295,0.009092
basics,基础科目及衍生类因子,56156b0241463e3402dcf855e61453fa,non_operating_net_profit_ttm,营业外收支净额TTM, 营业外收入（TTM） - 营业外支出（TTM）,0.416961,0.128072,0.016420,0.209054,0.429494,0.007390,0.323111,0.101655,-0.007382,0.258223,0.298920,0.008176,-0.071570,-0.025351,0.145221,-0.976418,0.007783,0.109848,-0.001446,-0.032314,0.638003,0,0.063235,0.021428,0.079862,-0.277480,0.007783
basics,基础科目及衍生类因子,4b04cc1bc6b79f7cd9bb75ce97dd4b44,net_invest_cash_flow_ttm,投资活动现金流量净额TTM, 计算过去12个月 投资活动现金流量净额 之和,0.442581,0.135083,0.022737,0.236634,0.456699,0.008393,0.309004,0.097579,-0.011055,0.255129,0.262003,0.013444,-0.093996,-0.033557,0.123113,-0.958315,0.010918,0.109848,-0.005665,-0.081467,0.754508,0,0.085114,0.028648,0.084210,-0.147900,0.010918
basics,基础科目及衍生类因子,8833282e343f66c67114ebe5ade6bf42,financial_expense_ttm,财务费用TTM, 计算过去12个月 财务费用 之和,0.234934,0.075694,-0.030774,0.262763,0.164589,0.008051,0.425888,0.130524,0.018629,0.242030,0.430330,0.004777,0.140422,0.046483,0.111045,0.083634,0.006414,0.109848,0.008259,0.091211,0.841886,0,-0.138240,-0.050144,0.189346,-1.162914,0.006414
basics,基础科目及衍生类因子,39bf3d93fbc8ac49ca7e0ff0f941d46f,administration_expense_ttm,管理费用TTM, 计算过去12个月 管理费用 之和,0.474979,0.143834,0.030622,0.281977,0.445865,0.012789,0.427996,0.131102,0.019150,0.254153,0.436665,0.004944,-0.059169,-0.020869,0.111580,-0.630230,0.008867,0.109848,0.016247,0.146400,0.857143,0,0.034633,0.011842,0.105455,-0.291540,0.008867
basics,基础科目及衍生类因子,7a199c95d14bd020559369cb755c3506,net_interest_expense,净利息费用, 利息支出-利息收入,0.345939,0.108191,-0.001493,0.177672,0.354945,0.018719,0.251774,0.080743,-0.026224,0.325782,0.145108,0.009593,-0.056830,-0.020028,0.265496,-0.336051,0.014156,0.109848,-0.027188,-0.096138,0.963939,0,-0.033112,-0.011576,0.293906,-0.288734,0.014156
basics,基础科目及衍生类因子,3632e25a7cdf28d0413ffae9edb722cf,value_change_profit_ttm,价值变动净收益TTM, 计算过去12个月 价值变动净收益 之和,0.328710,0.103265,-0.005932,0.340368,0.265622,0.015992,0.469142,0.142267,0.029210,0.223577,0.499530,0.011700,0.070475,0.023828,0.112609,-0.184259,0.013846,0.109848,0.015639,0.171983,0.851595,0,-0.086397,-0.030761,0.201799,-0.806239,0.013846
basics,基础科目及衍生类因子,bc08a4eddbafbda048ebb6738d65486b,total_profit_ttm,利润总额TTM, 计算过去12个月 利润总额 之和,0.368872,0.114684,0.004357,0.328266,0.295222,0.015748,0.500411,0.150616,0.036732,0.200045,0.581367,0.013258,0.021472,0.007373,0.263572,-0.223191,0.014503,0.109848,0.019507,0.141719,0.905687,0,-0.079636,-0.028287,0.251595,-0.467132,0.014503
basics,基础科目及衍生类因子,39b81096fefc9a6034b076392573a922,net_finance_cash_flow_ttm,筹资活动现金流量净额TTM, 计算过去12个月 筹资活动现金流量净额 之和,0.388984,0.120320,0.009435,0.191036,0.412837,0.008523,0.395929,0.122254,0.011177,0.296380,0.364588,0.009556,0.011197,0.003858,0.216729,-0.387362,0.009039,0.109848,-0.010770,-0.126897,0.826630,0,-0.035630,-0.012467,0.197524,-0.562323,0.009039
basics,基础科目及衍生类因子,cd4a6845fb87db20079943ccb88974fa,interest_free_current_liability,无息流动负债, 应付票据+应付账款+预收账款(用 预售款项 代替)+应交税费+应付利息+其他应付款+其他流动负债,0.360844,0.112419,0.002316,0.315652,0.298338,0.011090,0.605869,0.177960,0.061371,0.234709,0.651719,0.006224,0.140714,0.046576,0.080187,0.066742,0.008657,0.109848,0.014940,0.135920,0.847434,0,-0.147617,-0.053731,0.200586,-0.951361,0.008657
