name,intro,category,category_intro,algorithmIntro,ic_mean,ir,good_ic,best_direction,best_annual_return,best_turnover,annual_return_ls,annual_return_ls2,turnover_mean_ls,annual_ex_return_1q,annual_ex_return_5q
raw_beta,RAW BETA,style,风险因子 - 风格因子,一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63),-0.025893,-0.082916,0.951456,high_minus_low,0.180305,0.019855,0.180305,-0.224705,0.019855,-0.070453,0.092468
beta,BETA,style,风险因子 - 风格因子,一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63),-0.02588,-0.08288,0.951456,high_minus_low,0.180305,0.019855,0.180305,-0.224705,0.019855,-0.070453,0.092468
market_beta,市场波动率因子,style_pro,风险因子 - 新风格因子, 1.00 * historical_beta,-0.025121,-0.08657,0.947441,high_minus_low,0.135003,0.009108,0.135003,-0.181809,0.009108,-0.051493,0.071002
DAVOL20,20日平均换手率与120日平均换手率之比,emotion,情绪类因子, 20日平均换手率 / 120日平均换手率,-0.023182,-0.24479,0.834951,low_minus_high,0.121091,0.055233,-0.118902,0.121091,0.055233,0.092486,-0.036425
long_growth,长期成长因子,style_pro,风险因子 - 新风格因子, 0.20 * sales_per_share_growth_rate + 0.70 * long_term_pred_earnings_growth + 0.10 * earnings_per_share_growth_rate,-0.014412,-0.107097,0.897649,high_minus_low,0.12065,0.012344,0.12065,-0.123967,0.012344,-0.044152,0.063589
net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额,quality,质量类因子, 营业外收支利润净额/利润总额,0.006865,0.139393,0.714286,high_minus_low,0.107641,0.011033,0.107641,-0.102041,0.011033,-0.021032,0.084712
cash_flow_to_price_ratio,现金流市值比,basics,基础科目及衍生类因子, 1 / pcf_ratio (ttm),0.004822,0.101294,0.68516,high_minus_low,0.103439,0.016873,0.103439,-0.096955,0.016873,-0.042308,0.060051
VDEA,计算VMACD因子的中间变量,emotion,情绪类因子, EMA(VDIFF，M)    short设置为12，long设置为26，M设置为9,-0.020051,-0.219228,0.808599,low_minus_high,0.102042,0.075699,-0.102102,0.102042,0.075699,0.057383,-0.045864
sale_expense_to_operating_revenue,营业费用与营业总收入之比,quality,质量类因子, 营业费用与营业总收入之比=销售费用（TTM）/营业总收入（TTM）,-0.009048,-0.113394,0.823856,low_minus_high,0.095588,0.005374,-0.093545,0.095588,0.005374,0.038782,-0.051304
quick_ratio,速动比率,quality,质量类因子, 速动比率=(流动资产合计-存货)/ 流动负债合计,-0.009912,-0.11827,0.796117,low_minus_high,0.089236,0.007564,-0.088684,0.089236,0.007564,0.047053,-0.045357
equity_to_fixed_asset_ratio,股东权益与固定资产比率,quality,质量类因子, 股东权益与固定资产比率=股东权益/(固定资产+工程物资+在建工程),0.000853,0.011756,0.776699,low_minus_high,0.088974,0.005191,-0.090182,0.088974,0.005191,0.05153,-0.033719
