name,intro,category,category_intro,algorithmIntro,n,mean_abs_ic,min_abs_ic,mean_abs_ir,mean_best_ann,min_best_ann,positive_ann_count,mean_turnover,max_turnover,ic_sign_consistency,robust_score
raw_beta,RAW BETA,style,风险因子 - 风格因子,一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63),6,0.016034999999999997,0.001081,0.05119183333333333,0.3216096666666666,-0.029735,5,0.019153,0.024241,0.6666666666666666,0.2991204055555555
beta,BETA,style,风险因子 - 风格因子,一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63),6,0.016009666666666665,0.001092,0.05114333333333334,0.3215965,-0.029735,5,0.019152333333333334,0.024237,0.6666666666666666,0.2990588
liquidity_v2,流动性因子,,,,6,0.0264735,0.007768,0.11016033333333335,0.23844350000000003,0.017873,6,0.010772166666666666,0.012863,1.0,0.2908518916666667
average_share_turnover_quarterly,季度平均平均月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio)/3)，turn_over_ratio为过去三个月（63个交易日）的平均换手率,6,0.025908666666666667,0.00733,0.10771616666666667,0.23282233333333335,0.004246,6,0.010762166666666668,0.012811,1.0,0.28410155833333334
sale_expense_to_operating_revenue,营业费用与营业总收入之比,quality,质量类因子, 营业费用与营业总收入之比=销售费用（TTM）/营业总收入（TTM）,6,0.009464166666666666,0.001893,0.10959416666666666,0.24559383333333332,0.010838,6,0.005591666666666666,0.006885,0.8333333333333334,0.26424258333333334
average_share_turnover_annual,年度平均月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio)/12)，turn_over_ratio为过去十二个月（252个交易日）的平均换手率,6,0.020698333333333332,0.004654,0.088169,0.2187861666666667,0.000131,6,0.0042005,0.00567,1.0,0.25997280833333336
long_growth,长期成长因子,style_pro,风险因子 - 新风格因子, 0.20 * sales_per_share_growth_rate + 0.70 * long_term_pred_earnings_growth + 0.10 * earnings_per_share_growth_rate,6,0.010320166666666667,0.002678,0.07076833333333334,0.22054183333333333,0.000913,6,0.011640666666666667,0.012419,0.6666666666666666,0.24060013333333333
Variance120,120日收益方差,risk,风险类因子, 取121个交易日的收盘价，算出日收益率，再取方差,6,0.027738833333333334,0.016083,0.15584183333333335,0.18599416666666668,0.002762,6,0.0237985,0.028095,1.0,0.24028190833333335
share_turnover_monthly,月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio))，turn_over_ratio为过去21个交易日的换手率,6,0.031015166666666667,0.010504,0.1325205,0.21249983333333333,-0.004882,5,0.02368416666666667,0.027021,1.0,0.23792931944444443
Variance60,60日收益方差,risk,风险类因子, 取61个交易日的收盘价，算出日收益率，再取方差,6,0.030616833333333333,0.020613,0.17804050000000002,0.1942771666666667,-0.007403,5,0.03636783333333333,0.038444,1.0,0.2213129138888889
liquidity,流动性因子,style,风险因子 - 风格因子, 0.35 * 月换手率 + 0.35 * 季度平均平均月换手率 + 0.3 * 年度平均月换手率，之后将结果和市值因子做回归，取残差（去除和市值因子的共线性）,6,0.024781833333333333,0.005346,0.1116465,0.20609716666666666,-0.01046,5,0.014457999999999999,0.015831,1.0,0.22058840555555556
Variance20,20日收益方差,risk,风险类因子, 取21个交易日的收盘价，算出日收益率，再取方差,6,0.03269616666666667,0.022721,0.21372833333333333,0.15692566666666666,0.014132,6,0.0819565,0.08474,1.0,0.21822017500000002
liquidty,流动性因子,style_pro,风险因子 - 新风格因子, 0.25 * monthly_share_turnover + 0.25 * quarterly_share_turnover + 0.25 * annual_share_turnover + 0.25 * annualized_traded_value_ratio,6,0.023867666666666666,0.005828,0.09975483333333333,0.20512683333333334,-0.00893,5,0.010877999999999999,0.012408,1.0,0.21813046111111112
total_asset_growth_rate,总资产增长率,growth,成长类因子, 总资产 / 总资产_4 -1,6,0.006372166666666666,0.001956,0.065893,0.18809399999999998,0.041097,6,0.012069166666666667,0.014692,0.5,0.20023487499999998
BR,意愿指标,emotion,情绪类因子, BR=N日内（当日最高价－昨日收盘价）之和 / N日内（昨日收盘价－当日最低价）之和×100 n设定为26,6,0.017051,0.010497,0.13992783333333333,0.170696,0.004179,6,0.1518705,0.158454,1.0,0.197204475
momentum_v2,动量因子,,,,6,0.010831833333333332,0.000738,0.059894833333333335,0.1788438333333333,0.007463,6,0.11036066666666666,0.114021,0.5,0.19498946666666664
momentum,动量因子,style,风险因子 - 风格因子, 动量因子=1.0*相对强弱因子=sum(w_t * ln(1 + r_t))，其中r_t取滞后21个交易日的前504个交易日的close数据，w_t为半衰期为126天的指数权重，满足w(t-126)=0.5*w(t),6,0.013556166666666666,0.005333,0.05744383333333333,0.17050733333333334,0.059078,6,0.054266666666666664,0.0595,0.8333333333333334,0.19490633333333332
relative_strength,相对强弱,style,风险因子 - 风格因子, sum(w_t * ln(1 + r_t))，其中r_t取滞后21个交易日的前504个交易日的close数据，w_t为半衰期为126天的指数权重，满足w(t-126)=0.5*w(t),6,0.013561499999999999,0.005347,0.05746966666666667,0.16933466666666666,0.058782,6,0.05427833333333334,0.059575,0.8333333333333334,0.19374375
relative_momentum,相对动量因子,style_pro,风险因子 - 新风格因子, 0.50 * historical_alpha + 0.50 * relative_strength_12_month,6,0.013655333333333334,0.004028,0.06008483333333334,0.16250766666666666,0.052655,6,0.01742583333333333,0.018312,0.8333333333333334,0.18894704166666668
earnvar,盈利变动率因子,style_pro,风险因子 - 新风格因子, 0.20 * variability_in_cashflows + 0.25 * variability_in_earnings + 0.20 * variability_in_sales + 0.35 * std_of_analyst_forecast_earning_to_price,6,0.010711,0.000154,0.08514233333333333,0.16764416666666668,0.003393,6,0.014261999999999999,0.014979,0.8333333333333334,0.18835306666666668
residual_volatility,残差波动因子,style,风险因子 - 风格因子, 0.74 * 日收益率标准差(DASTD) + 0.16 * 收益离差(CMRA) + 0.1 * 残差历史波动率(HSIGMA)，之后将结果和beta因子，市值因子做回归，取残差,6,0.034483,0.021733,0.2385505,0.13457266666666667,-0.007749,5,0.038923,0.041689,1.0,0.1791637388888889
divyild,分红因子,style_pro,风险因子 - 新风格因子, 0.50 * dividend_to_price + 0.50 * analyst_predicted_dividend_to_price,6,0.022772833333333336,0.013959,0.10324316666666666,0.13257916666666666,0.023426,6,0.016122333333333332,0.019571,1.0,0.17731871666666668
growth,成长因子,style,风险因子 - 风格因子,0.18 * 预期长期盈利增长率 + 0.11 * 预期短期盈利增长率 + 0.24 * 5年盈利增长率 + 0.47 * 5年营业收入增长率,6,0.007411,2.2e-05,0.06870883333333334,0.157717,0.009293,6,0.0077325,0.008419,0.5,0.172152375
operating_revenue_growth_rate,营业收入增长率,growth,成长类因子, 营业收入增长率=（今年营业收入（TTM）/去年营业收入（TTM））-1,6,0.005749333333333333,0.000353,0.06664583333333333,0.161049,0.070375,6,0.012375166666666666,0.01604,0.6666666666666666,0.17192890833333332
VOL10,10日平均换手率,emotion,情绪类因子," 10日换手率的均值,单位为%",6,0.028717333333333334,0.014378,0.1884055,0.1388535,-0.010077,5,0.047755,0.050081,1.0,0.17075816666666666
VOL60,60日平均换手率,emotion,情绪类因子," 60日换手率的均值,单位为%",6,0.020603333333333335,0.007026,0.1310445,0.15624866666666667,-0.007211,5,0.01568433333333333,0.018188,1.0,0.17062967222222222
earnqlty,盈利质量因子,style_pro,风险因子 - 新风格因子, 0.60 * accruals_balance_sheet_version + 0.40 * accruals_cashflow_statement_version,6,0.010466166666666665,0.000445,0.08458066666666665,0.14393933333333334,0.021146,6,0.004627333333333333,0.005118,1.0,0.1646403
ltrevrsl,长期反转因子,style_pro,风险因子 - 新风格因子, 0.46 * long_term_historical_alpha + 0.54 * long_term_relative_strength,6,0.008278,0.003016,0.058609166666666664,0.14327983333333333,0.001491,6,0.019234499999999998,0.025639,0.6666666666666666,0.15887410833333335
Price1Y,当前股价除以过去一年股价均值再减1,momentum,动量类因子, 当日收盘价 / mean(过去一年(250天)的收盘价) -1,6,0.009041833333333334,0.000154,0.06684,0.13943333333333333,0.033472,6,0.0707275,0.083428,0.6666666666666666,0.15398062499999998
ARBR,ARBR,emotion,情绪类因子, 因子 AR 与因子 BR 的差,6,0.007358666666666667,0.005187,0.0981165,0.14167966666666668,0.072033,6,0.1432175,0.175472,1.0,0.149236125
VOL120,120日平均换手率,emotion,情绪类因子," 120日换手率的均值,单位为%",6,0.018178166666666665,0.005727,0.11720916666666666,0.13506083333333332,-0.000605,5,0.011366333333333332,0.013319,1.0,0.14833871111111108
rnoa_ttm,经营资产回报率TTM,quality,质量类因子, 销售利润率*经营资产周转率,6,0.0034113333333333335,1.3e-05,0.03779166666666667,0.14132783333333335,0.013492,6,0.008011833333333334,0.010892,0.8333333333333334,0.14774990833333335
