name,intro,category,category_intro,algorithmIntro,ic_mean,ir,good_ic,best_direction,best_annual_return,best_turnover,annual_return_ls,annual_return_ls2,turnover_mean_ls,annual_ex_return_1q,annual_ex_return_5q
daily_standard_deviation,日收益率标准差,style,风险因子 - 风格因子, sqrt(sum(w_t*(r_t - r_mean)**2))，其中r_t为过去252个交易日的日收益率，w_t为半衰期为42个交易日的指数权重，满足w(t-42)=0.5*w(t),-0.047639,-0.168593,0.947295,high_minus_low,-0.001892,0.01995,-0.001892,-0.070666,0.01995,0.019645,0.012524
resvol,残余波动率因子,style_pro,风险因子 - 新风格因子, 0.50 * daily_std + 0.42 * historical_resid_sigma + 0.08 * cum_range,-0.047279,-0.173287,0.954357,high_minus_low,0.011207,0.013333,0.011207,-0.076441,0.013333,0.011197,0.016727
historical_sigma,残差历史波动率,style,风险因子 - 风格因子, 计算 beta 收益之时的残差收益率的波动率,-0.043129,-0.18798,0.943135,high_minus_low,0.006899,0.010962,0.006899,-0.054315,0.010962,0.007503,0.009591
Variance20,20日收益方差,risk,风险类因子, 取21个交易日的收盘价，算出日收益率，再取方差,-0.042523,-0.280581,0.9043,low_minus_high,0.021398,0.08474,-0.044115,0.021398,0.08474,0.039218,-0.017169
residual_volatility,残差波动因子,style,风险因子 - 风格因子, 0.74 * 日收益率标准差(DASTD) + 0.16 * 收益离差(CMRA) + 0.1 * 残差历史波动率(HSIGMA)，之后将结果和beta因子，市值因子做回归，取残差,-0.042143,-0.288262,0.9043,low_minus_high,0.006973,0.036314,-0.031975,0.006973,0.036314,0.005792,-0.024845
share_turnover_monthly,月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio))，turn_over_ratio为过去21个交易日的换手率,-0.041012,-0.17764,0.940361,high_minus_low,0.02173,0.024426,0.02173,-0.075987,0.024426,-0.002377,0.010443
VOL5,5日平均换手率,emotion,情绪类因子," 5日换手率的均值,单位为%",-0.040841,-0.279456,0.9043,low_minus_high,0.008335,0.079564,-0.034492,0.008335,0.079564,0.019266,-0.026454
Variance60,60日收益方差,risk,风险类因子, 取61个交易日的收盘价，算出日收益率，再取方差,-0.040053,-0.229525,0.919556,low_minus_high,-0.007403,0.036794,-0.022297,-0.007403,0.036794,0.017914,-0.016538
cumulative_range,收益离差,style,风险因子 - 风格因子," ln(1+Z_max)-ln(1+Z_min)，其中Z_t=cumsum(ln(1+r_t))，t=1,2,...,12，r_t为向前推t个月的月收益",-0.039827,-0.165594,0.938974,high_minus_low,0.022478,0.098563,0.022478,-0.071173,0.098563,-0.016982,-0.005176
VOL10,10日平均换手率,emotion,情绪类因子," 10日换手率的均值,单位为%",-0.038267,-0.25627,0.893204,high_minus_low,-0.010077,0.049003,-0.010077,-0.016937,0.049003,0.007528,-0.013779
TVSTD6,6日成交金额的标准差,emotion,情绪类因子, 6日成交额的标准差,-0.037827,-0.312421,0.877947,low_minus_high,0.012972,0.165443,-0.027886,0.012972,0.165443,0.019331,-0.015858
turnover_volatility,换手率相对波动率,emotion,情绪类因子, 取20个交易日个股换手率的标准差,-0.037306,-0.271736,0.898752,low_minus_high,0.03723,0.059598,-0.057714,0.03723,0.059598,0.026394,-0.042829
volatility_v2,波动率因子,,,,-0.037165,-0.124717,0.963889,high_minus_low,0.087623,0.015042,0.087623,-0.152928,0.015042,-0.027683,0.053785
boll_down,下轨线（布林线）指标,technical,技术指标因子," (MA(CLOSE,M)-2*STD(CLOSE,M)) / 今日收盘价; M=20",0.036973,0.313129,0.85853,high_minus_low,0.007155,0.2039,0.007155,-0.025811,0.2039,-0.004005,0.020842
Variance120,120日收益方差,risk,风险类因子, 取121个交易日的收盘价，算出日收益率，再取方差,-0.036779,-0.201799,0.926491,high_minus_low,0.002762,0.024491,0.002762,-0.033198,0.024491,-0.003393,-0.012029
liquidity,流动性因子,style,风险因子 - 风格因子, 0.35 * 月换手率 + 0.35 * 季度平均平均月换手率 + 0.3 * 年度平均月换手率，之后将结果和市值因子做回归，取残差（去除和市值因子的共线性）,-0.036135,-0.154241,0.959778,high_minus_low,0.042745,0.014295,0.042745,-0.093183,0.014295,-0.005261,0.029987
TVMA6,6日成交金额的移动平均值,emotion,情绪类因子, 6日成交金额的移动平均值,-0.036049,-0.255162,0.884882,low_minus_high,0.022559,0.068622,-0.040608,0.022559,0.068622,0.023145,-0.025742
liquidity_v2,流动性因子,,,,-0.035921,-0.148626,0.938889,high_minus_low,0.07826,0.011039,0.07826,-0.12604,0.011039,-0.01956,0.048766
book_to_price_ratio,市净率因子,style,风险因子 - 风格因子,每股净资产与每股股价的比率,0.035446,0.158002,0.947295,high_minus_low,-0.013353,0.015975,-0.013353,-0.030051,0.015975,-0.010079,0.018302
average_share_turnover_quarterly,季度平均平均月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio)/3)，turn_over_ratio为过去三个月（63个交易日）的平均换手率,-0.035412,-0.147009,0.945908,high_minus_low,0.068785,0.01121,0.068785,-0.118345,0.01121,0.006536,0.06688
btop,市净率因子,style_pro,风险因子 - 新风格因子, 1.00 * book_to_price,0.035367,0.157618,0.948824,high_minus_low,-0.017238,0.015844,-0.017238,-0.026286,0.015844,-0.005219,0.019385
VOL20,20日平均换手率,emotion,情绪类因子," 20日换手率的均值,单位为%",-0.034654,-0.22789,0.895978,high_minus_low,-0.013044,0.03131,-0.013044,-0.014577,0.03131,0.022861,-0.002221
TVSTD20,20日成交金额的标准差,emotion,情绪类因子, 20日成交额的标准差,-0.033859,-0.249458,0.864078,low_minus_high,0.004345,0.058458,-0.02178,0.004345,0.058458,0.028848,-0.001692
price_no_fq,不复权价格因子,technical,技术指标因子, 不复权价格,-0.032351,-0.149316,0.929265,high_minus_low,-0.015173,0.011513,-0.015173,-0.025729,0.011513,0.002127,-0.011405
value_v2,价值因子,,,,0.031885,0.158574,0.918056,low_minus_high,-0.008561,0.013317,-0.02483,-0.008561,0.013317,-0.002342,0.006006
liquidty,流动性因子,style_pro,风险因子 - 新风格因子, 0.25 * monthly_share_turnover + 0.25 * quarterly_share_turnover + 0.25 * annual_share_turnover + 0.25 * annualized_traded_value_ratio,-0.030373,-0.134169,0.95574,high_minus_low,0.073239,0.011452,0.073239,-0.116567,0.011452,-0.000626,0.064559
DAVOL5,5日平均换手率与120日平均换手率,emotion,情绪类因子, 5日平均换手率 / 120日平均换手率,-0.030264,-0.31486,0.848821,low_minus_high,0.133904,0.137968,-0.130519,0.133904,0.137968,0.062414,-0.074129
money_flow_20,20日资金流量,emotion,情绪类因子, 用收盘价、最高价及最低价的均值乘以当日成交量即可得到该交易日的资金流量,-0.02984,-0.203384,0.879334,high_minus_low,0.01299,0.031289,0.01299,-0.032148,0.031289,-0.000381,0.004655
TVMA20,20日成交金额的移动平均值,emotion,情绪类因子, 20日成交金额的移动平均值,-0.029838,-0.203337,0.880721,high_minus_low,0.013443,0.03138,0.013443,-0.032619,0.03138,3.6e-05,0.005546
bull_power,多头力道,momentum,动量类因子," (最高价-EMA(close,13)) / close",-0.029317,-0.205269,0.864078,low_minus_high,-0.007671,0.274889,-0.01832,-0.007671,0.274889,0.015679,0.005539
VOL60,60日平均换手率,emotion,情绪类因子," 60日换手率的均值,单位为%",-0.028893,-0.182016,0.9043,high_minus_low,0.050536,0.016533,0.050536,-0.074898,0.016533,-0.009407,0.028387
VOSC,成交量震荡,emotion,情绪类因子, 'VEMA12'和'VEMA26'两者的差值，再求差值与'VEMA12'的比，最后将比值放大100倍，得到VOSC值,-0.028787,-0.282967,0.839112,low_minus_high,0.09533,0.148864,-0.099324,0.09533,0.148864,0.020754,-0.076527
average_share_turnover_annual,年度平均月换手率,style,风险因子 - 风格因子, ln(sum(turn_over_ratio)/12)，turn_over_ratio为过去十二个月（252个交易日）的平均换手率,-0.028575,-0.121322,0.937587,high_minus_low,0.074153,0.004882,0.074153,-0.119212,0.004882,-0.02578,0.038059
