name,intro,category,category_intro,algorithmIntro,ic_mean,ir,good_ic,best_direction,best_annual_return,best_turnover,annual_return_ls,annual_return_ls2,turnover_mean_ls,annual_ex_return_1q,annual_ex_return_5q
raw_beta,RAW BETA,style,风险因子 - 风格因子,一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63),-0.025893,-0.082916,0.951456,high_minus_low,0.180305,0.019855,0.180305,-0.224705,0.019855,-0.070453,0.092468
beta,BETA,style,风险因子 - 风格因子,一元线性回归求解 beta=sum(w_t*(r_t-r_mean)*(R_t-R_mean))/sum(w_t*(R_t-R_mean)^2)，其中r_t、R_t分别使用前252个交易日的股票和中证流通指数的close数据，w_t为半衰期为63个交易日的指数加权平均权重，w_t=0.5**(t/63),-0.02588,-0.08288,0.951456,high_minus_low,0.180305,0.019855,0.180305,-0.224705,0.019855,-0.070453,0.092468
DAVOL10,10日平均换手率与120日平均换手率之比,emotion,情绪类因子, 10日平均换手率 / 120日平均换手率,-0.027508,-0.290184,0.816921,low_minus_high,0.15982,0.085225,-0.1486,0.15982,0.085225,0.065315,-0.091728
ARBR,ARBR,emotion,情绪类因子, 因子 AR 与因子 BR 的差,-0.0099,-0.139335,0.797503,low_minus_high,0.149756,0.124606,-0.137714,0.149756,0.124606,0.084851,-0.058668
market_beta,市场波动率因子,style_pro,风险因子 - 新风格因子, 1.00 * historical_beta,-0.025121,-0.08657,0.947441,high_minus_low,0.135003,0.009108,0.135003,-0.181809,0.009108,-0.051493,0.071002
DAVOL5,5日平均换手率与120日平均换手率,emotion,情绪类因子, 5日平均换手率 / 120日平均换手率,-0.030264,-0.31486,0.848821,low_minus_high,0.133904,0.137968,-0.130519,0.133904,0.137968,0.062414,-0.074129
DAVOL20,20日平均换手率与120日平均换手率之比,emotion,情绪类因子, 20日平均换手率 / 120日平均换手率,-0.023182,-0.24479,0.834951,low_minus_high,0.121091,0.055233,-0.118902,0.121091,0.055233,0.092486,-0.036425
long_growth,长期成长因子,style_pro,风险因子 - 新风格因子, 0.20 * sales_per_share_growth_rate + 0.70 * long_term_pred_earnings_growth + 0.10 * earnings_per_share_growth_rate,-0.014412,-0.107097,0.897649,high_minus_low,0.12065,0.012344,0.12065,-0.123967,0.012344,-0.044152,0.063589
MASS,梅斯线,momentum,动量类因子," MASS(N1=9, N2=25, M=6)",-0.020694,-0.195093,0.828017,low_minus_high,0.113521,0.086502,-0.114416,0.113521,0.086502,0.065442,-0.052306
net_non_operating_income_to_total_profit,营业外收支利润净额/利润总额,quality,质量类因子, 营业外收支利润净额/利润总额,0.006865,0.139393,0.714286,high_minus_low,0.107641,0.011033,0.107641,-0.102041,0.011033,-0.021032,0.084712
cash_flow_to_price_ratio,现金流市值比,basics,基础科目及衍生类因子, 1 / pcf_ratio (ttm),0.004822,0.101294,0.68516,high_minus_low,0.103439,0.016873,0.103439,-0.096955,0.016873,-0.042308,0.060051
